﻿Pedimento,Razón Social,Monto,IVA,Retención,Total
26 24 3953 6000039,18,"$7,977.94"," $1,276.47 ", $    319.12 ," $8,935.29 "
26 24 3953 6001194,18,"$7,977.94"," $1,276.47 ", $    319.12 ," $8,935.29 "
26 51 3953 6001934,18,"$7,977.94"," $1,276.47 ", $    319.12 ," $8,935.29 "
26 24 3953 6001580,18,"$7,977.94"," $1,276.47 ", $    319.12 ," $8,935.29 "
26 24 3953 6001598,18,"$7,977.94"," $1,276.47 ", $    319.12 ," $8,935.29 "
26 51 1752 6000145,18,"$7,977.94"," $1,276.47 ", $    319.12 ," $8,935.29 "
26 51 1752 6000145-1,18,"$7,977.94"," $1,276.47 ", $    319.12 ," $8,935.29 "
26 51 3953 6002204,18,"$7,977.94"," $1,276.47 ", $    319.12 ," $8,935.29 "
