Cantidad,Embalaje,BL,Pedimento,Tipo,Peso,BKG,Movimientos,Sello,Referencia,Orden,Proveedor,OrdenCompra,Descripcion,ClavePeso,ClaveProd,TipoEmb,ClaveMP,FraccionAr,NumeroP,UUIDCE,Dimensiones,ValorMercancia,Moneda,PesoNeto,PesoTara
2520,Pallet,,,,150,,,,,,,,Cables eléctricos y accesorios,KGM,26121600,,,,,,,,,,
9060,Pallet,,,,750,,,,,,,,Cables eléctricos y accesorios,KGM,26121600,,,,,,,,,,
360,Pallet,,,,300,,,,,,,,Tarjetas inteligentes,KGM,32101617,,,,,,,,,,
4100,Pallet,,,,300,,,,,,,,Instrumentos indicadores y de registro,KGM,41111900,,,,,,,,,,
96,Pallet,,,,150,,,,,,,,Carcasas de computadoras,KGM,43201601,,,,,,,,,,
240,Pallet,,,,150,,,,,,,,NO APLICA,KGM,43201601,,,,,,,,,,
48,Pallet,,,,150,,,,,,,,Accesorios de computador,KGM,43211600,,,,,,,,,,
122,Pallet,,,,150,,,,,,,,Accesorios de computador,KGM,43211600,,,,,,,,,,
